pipeline,resource,field,pattern,value
developer-agreement-contribution,,contribution-purpose,Initial off -site- affordable- housing -contribution,affordable-housing
developer-agreement-contribution,,contribution-purpose,Woodland contribution,
developer-agreement-contribution,,contribution-purpose,Deed of variation to principle agreement,
developer-agreement-contribution,,contribution-purpose,Amended -Affordable- Housing- plan- locations,affordable-housing
developer-agreement-contribution,,contribution-purpose,Off -site- affordable- housing -contribution,affordable-housing
developer-agreement-contribution,,contribution-purpose,Provision - 2- units,
developer-agreement-contribution,,contribution-purpose,Affordable-housing,affordable-housing
developer-agreement-contribution,,contribution-purpose,Monitoring fee,monitoring-fees
developer-agreement-contribution,,contribution-purpose,Traffic signal contribution,highways
developer-agreement-contribution,,contribution-purpose,Travel plan auditing contribution,transport-and-travel
developer-agreement-contribution,,contribution-purpose,Off-site play space improvement contribution,
developer-agreement-contribution,,contribution-purpose,Parking spaces contribution,transport-and-travel
developer-agreement-contribution,,contribution-purpose,Pump priming (financially assisting the car club operator for 2 years),transport-and-travel
developer-agreement-contribution,,contribution-purpose,To provide Â£50 of free travel to one user of each dwelling using the car club,transport-and-travel
developer-agreement-contribution,,contribution-purpose,Second deed of variation to ensure compliance with initial obligations,
developer-agreement-contribution,,contribution-purpose,Deed of variation,
developer-agreement-contribution,,contribution-purpose,drainage,flood-and-water-management
developer-agreement-contribution,,contribution-purpose,recreation,
developer-agreement-contribution,,contribution-purpose,open-spaces-and-leisure,open-space-and-leisure
developer-agreement-contribution,,contribution-purpose,Off Site Play Contribution,
developer-agreement-contribution,,contribution-purpose,Other,other
developer-agreement-contribution,,contribution-purpose,OSSR,
developer-agreement-contribution,,contribution-purpose,Affordable Housing - Units On Site,affordable-housing
developer-agreement-contribution,,contribution-purpose,Tramway Interpretation,transport-and-travel
developer-agreement-contribution,,contribution-purpose,Affordable Housing - Financial Contribution,affordable-housing
developer-agreement-contribution,,contribution-purpose,LEAP,
developer-agreement-contribution,,contribution-purpose,Other - Cirl Bunting,other
developer-agreement-contribution,,contribution-purpose,Sports Facilities Commuted Sum,
developer-agreement-contribution,,contribution-purpose,Sports Facilities Contribution,
developer-agreement-contribution,,contribution-purpose,open-space-and leisure,open-space-and-leisure
developer-agreement-contribution,,contribution-purpose,Affordable Housing,affordable-housing
developer-agreement-contribution,,contribution-purpose,Allotment land,
developer-agreement-contribution,,contribution-purpose,Parking Area,transport-and-travel
developer-agreement-contribution,,contribution-purpose,Muga,open-space-and-leisure
developer-agreement-contribution,,contribution-purpose,Health care,health
developer-agreement-contribution,,contribution-purpose,Monitoring,monitoring-fees
developer-agreement-contribution,,contribution-purpose,transport,transport-and-travel
developer-agreement-contribution,,contribution-purpose,open-space,open-space-and-leisure
developer-agreement-contribution,,contribution-purpose,education-primary,education
developer-agreement-contribution,,contribution-purpose,monitoring,monitoring-fees
developer-agreement-contribution,,contribution-purpose,Health,health
developer-agreement-contribution,,contribution-purpose,Education,education
developer-agreement-contribution,,contribution-purpose,green-infastructure,green-infrastructure
developer-agreement-contribution,,contribution-purpose,CIL,community-infrastructure-levy
developer-agreement-contribution,,contribution-purpose,strategic-communinty-infrastructure-levy,community-infrastructure-levy
developer-agreement-contribution,,contribution-purpose,other-HRA,other
developer-agreement-contribution,,contribution-purpose,other-ecology,other
developer-agreement-contribution,,contribution-purpose,other-allotments,other
